language,query_type,method,n,hit_at_1,hit_at_5,hit_at_10,recall_at_1,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
zh,simple,jev,955,0.6010471204188481,0.8282722513089005,0.8502617801047121,0.6010471204188481,0.8282722513089005,0.8502617801047121,0.69711044627275,0.7352536234360624
zh,simple,voyage,955,0.7068062827225131,0.8418848167539267,0.8502617801047121,0.7068062827225131,0.8418848167539267,0.8502617801047121,0.7637708800797806,0.7854500091623527
zh,complex,baseline,926,0.5151187904967602,0.765658747300216,0.8509719222462203,0.5151187904967602,0.765658747300216,0.8509719222462203,0.6217349754876753,0.6767675819685409
zh,complex,jev,926,0.5518358531317494,0.8034557235421166,0.8509719222462203,0.5518358531317494,0.8034557235421166,0.8509719222462203,0.6578439439130583,0.7051879389925768
zh,complex,voyage,926,0.7138228941684666,0.8423326133909287,0.8509719222462203,0.7138228941684666,0.8423326133909287,0.8509719222462203,0.7702539511124824,0.7905580318060831
zh,multi_hop,baseline,291,0.6116838487972509,0.8865979381443299,0.9553264604810997,0.25263459335624283,0.6212485681557847,0.7342497136311569,0.7243127147766323,0.6378721105505484
zh,multi_hop,jev,291,0.6460481099656358,0.9175257731958762,0.9553264604810997,0.2650630011454754,0.6441008018327606,0.7342497136311569,0.7580933289696177,0.6564051641789029
zh,multi_hop,voyage,291,0.7628865979381443,0.9381443298969072,0.9553264604810997,0.3144902634593356,0.6853951890034364,0.7342497136311569,0.8391261659302897,0.7048223577465103
en,all,baseline,2172,0.5308471454880295,0.7826887661141805,0.8646408839779005,0.48274248004910986,0.7471378146101904,0.8350214855739717,0.6371890438188781,0.6727695674014555
en,all,jev,2172,0.5883977900552486,0.8310313075506446,0.8646408839779005,0.5358118477593615,0.7951810926949049,0.8350214855739717,0.6883491917331697,0.7109840552516171
en,all,voyage,2172,0.7186924493554327,0.8512891344383057,0.8646408839779005,0.6574508901166359,0.8163520564763659,0.8350214855739717,0.7742549475284282,0.77426462602804
en,simple,baseline,955,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.5214659685863874,0.7675392670157068,0.8502617801047121,0.6256261946314302,0.6795266338459509
en,simple,jev,955,0.6041884816753926,0.8261780104712042,0.8502617801047121,0.6041884816753926,0.8261780104712042,0.8502617801047121,0.6940526053353279,0.732681348396306
en,simple,voyage,955,0.6984293193717277,0.837696335078534,0.8502617801047121,0.6984293193717277,0.837696335078534,0.8502617801047121,0.7574121166791323,0.7806052636309033
en,complex,baseline,926,0.5151187904967602,0.765658747300216,0.8509719222462203,0.5151187904967602,0.765658747300216,0.8509719222462203,0.6217349754876753,0.6767675819685409
en,complex,jev,926,0.5475161987041036,0.8110151187904968,0.8509719222462203,0.5475161987041036,0.8110151187904968,0.8509719222462203,0.6564490555041311,0.7042919825960512
en,complex,voyage,926,0.7213822894168467,0.8369330453563715,0.8509719222462203,0.7213822894168467,0.8369330453563715,0.8509719222462203,0.769500582810518,0.7896818473249697
en,multi_hop,baseline,291,0.6116838487972509,0.8865979381443299,0.9553264604810997,0.25263459335624283,0.6212485681557847,0.7342497136311569,0.7243127147766323,0.6378721105505484
en,multi_hop,jev,291,0.6666666666666666,0.9106529209621993,0.9553264604810997,0.27416953035509734,0.6430698739977091,0.7342497136311569,0.7711422025855016,0.6610732110106416
en,multi_hop,voyage,291,0.7766323024054983,0.9415807560137457,0.9553264604810997,0.3195303550973654,0.6808132875143185,0.7342497136311569,0.8446585392461681,0.704396392929445
